Name,Team,Level,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,K%,BB%,ERA,FIP,WHIP,Pitches,Strikes,Oppo%,PlayerId
"Patrick Schuster","ARI","AA,AAA",7,4,3.6357615894039736,134,0,0,0,8,7,,151,657,149,64,61,8,63,1,10,12,1,145,8.642384105960264,0.22070015,0.09589041,3.6357615894039736,3.768241062546575,1.403973509933775,2473,1565,0.3180778,"10029"
"Keyvius Sampson","CIN","A,AA,AAA,R",12,18,4.017426222100319,74,44,0,0,0,2,,248.2,1094,221,123,111,18,138,1,8,14,1,245,8.867292111843046,0.22394881,0.1261426,4.017426222100319,4.157082710747402,1.443699713447462,4301,2616,0.33285714,"10039"
"Ashur Tolliver","BAL","A-,AA,AAA,R",5,3,3.7517082621870803,108,2,0,0,3,7,,146.1,641,136,63,61,8,80,1,5,12,1,146,8.979498463595307,0.22776911,0.12480499,3.7517082621870803,3.8519139252737475,1.4760819392211464,2618,1622,0.39512195,"10044"
"Johnny Hellweg","MIL","A+,AA,AAA",3,17,5.915730665912552,54,22,0,0,11,1,,118.2,574,124,99,78,10,85,0,21,21,2,87,6.598314973517846,0.15156794,0.14808362,5.915730665912552,5.551633703104281,1.7612360529568707,1814,1053,0.32625995,"10065"
"Ian Krol","DET","A+,AAA,R",10,8,3.831683385396715,177,2,0,0,21,7,,202,896,201,95,86,18,98,3,13,17,1,234,10.425743164916643,0.26116071,0.109375,3.831683385396715,4.037188871344903,1.4801981036610048,3612,2229,0.35208711,"10066"
"Caleb Thielbar","MIN","AA,AAA",15,5,2.5620439115460627,131,0,0,0,5,2,,182.2,744,163,56,52,12,44,3,5,4,0,175,8.622263163856942,0.23521505,0.05913978,2.5620439115460627,3.1905968116426138,1.1332117301069125,2738,1797,0.32115385,"10078"
"Manny Barreda","MIL","A+,AA,AAA",6,6,2.907692648983606,70,9,1,0,1,3,,130,554,114,53,42,11,59,0,5,12,0,128,8.861539501664323,0.23104693,0.10649819,2.907692648983606,3.9372184690520218,1.3307693869686874,2079,1285,0.31805158,"10148"
"Ryan Weber","ATL","AA,AAA",32,31,3.3351064732086635,152,86,1,0,6,4,,564,2313,558,235,209,55,100,4,27,11,0,420,6.702127840897792,0.18158236,0.0432339,3.3351064732086635,3.8993892563191292,1.1666666982303564,8350,5572,0.28798186,"10160"
"Edgar Olmos","SEA","AAA",14,8,2.9047621392759404,91,8,0,0,5,5,,189,788,162,71,61,10,74,2,15,10,1,187,8.904762623681982,0.23730964,0.09390863,2.9047621392759404,3.4438017199051734,1.2486773494883825,2989,1798,0.32485323,"10174"
"Jacob Turner","CHC","AA,AAA",11,18,4.473745813450252,60,49,1,1,1,1,,285.2,1231,307,149,142,26,101,0,14,18,2,220,6.931155485627151,0.17871649,0.08204712,4.473745813450252,4.153710749006326,1.428238100068625,4547,2811,0.28635347,"10185"
"Shelby Miller","ARI","A+,AA,AAA,R",13,9,3.415944427809412,78,27,1,1,12,2,,192.1,795,160,90,73,13,66,0,5,8,2,244,11.417677265554747,0.30691824,0.08301887,3.415944427809412,3.1536576644314622,1.1750432887137399,3091,2045,0.37815126,"10197"
"Aaron Northcraft","SDP","A-,AA,AAA",12,13,3.8969072835429452,141,20,0,0,6,3,,258.2,1106,238,127,112,19,110,5,20,12,0,202,7.028350636389955,0.18264014,0.0994575,3.8969072835429452,4.478723670517075,1.3453608478898262,4090,2545,0.32299742,"10218"
"Ariel Pena","MIL","AAA",4,4,5.459834025790736,59,12,0,0,0,1,,120.1,539,128,77,73,14,64,1,4,8,0,118,8.825485137579546,0.21892393,0.1187384,5.459834025790736,4.883953425222537,1.595567934477658,2097,1261,0.2991453,"10240"
"Andy Oliver","TBR","AAA",7,4,4.0909094219365665,85,15,0,0,1,2,,165,725,159,80,75,16,91,2,2,24,1,170,9.272728023056217,0.23448276,0.12551724,4.0909094219365665,4.127236157177785,1.5151516377542837,2817,1741,0.3655914,"10257"
"Rafael Martin","WSN","AAA",11,11,4.125,148,0,0,0,36,11,,168,705,147,79,77,17,58,9,6,6,0,180,9.642857142857142,0.25531915,0.0822695,4.125,3.543420090548361,1.2202380952380953,2779,1838,0.35076253,"10258"
"Justin Marks","ARI","A+,AAA",20,25,4.7004049581158105,94,50,1,1,3,1,,329.1,1419,325,189,172,31,140,4,8,15,3,286,7.815789639657685,0.20155039,0.09866103,4.7004049581158105,4.255945026561632,1.4119433498216096,5699,3474,0.34384537,"10265"
"Josh Smoker","NYM","A,A+,AA,AAA",10,7,3.8643123361579077,154,3,0,0,9,8,,179.1,781,182,89,77,14,64,4,2,14,1,215,10.789963016544807,0.27528809,0.08194622,3.8643123361579077,3.2094342573967642,1.3717472362118979,2880,1896,0.35728543,"10285"
"Chad Bell","TEX","AA,AAA",22,24,4.300403333297167,99,46,0,0,0,3,,330.2,1419,347,174,158,26,113,6,8,13,2,292,7.947580843815017,0.20577872,0.07963354,4.300403333297167,3.6531284697668664,1.3911290670300258,5350,3330,0.30715706,"10297"
"Chris Heston","SFG","A+,AA,AAA,R",6,15,4.945794540195035,43,33,1,1,1,0,,178.1,792,205,101,98,21,70,1,8,10,0,129,6.510280568215913,0.16287879,0.08838384,4.945794540195035,5.060060727493059,1.5420561208091095,2766,1732,0.26027397,"10302"
"Roman Mendez","TEX","AA,AAA",13,8,3.338394683427635,106,0,0,0,18,1,,153.2,640,126,64,57,19,56,2,6,12,0,151,8.84381749469426,0.2359375,0.0875,3.338394683427635,4.177696926106634,1.1843817395396288,2457,1583,0.27488152,"10307"
"Erasmo Ramirez","SEA","A+,AA,AAA",7,10,4.092519813728533,46,31,1,0,0,0,,169.1,709,158,89,77,20,51,0,6,10,2,147,7.812992371663563,0.20733427,0.0719323,4.092519813728533,4.426900335488728,1.2342520073149545,2605,1671,0.2950495,"10314"
"Michael Tonkin","MIN","AAA",14,5,2.5714285714285716,131,0,0,0,35,10,,154,624,115,50,44,12,47,1,14,5,1,207,12.097402597402597,0.33173077,0.07532051,2.5714285714285716,2.922904619259007,1.051948051948052,2562,1685,0.3286119,"10315"
"Chad Jenkins","TOR","AAA",11,10,3.502702901323328,61,13,0,0,1,3,,123.1,552,139,57,48,6,43,1,3,5,0,81,5.910811145983117,0.14673913,0.07789855,3.502702901323328,3.597800352944732,1.4756757593538097,2062,1302,0.27058824,"10326"
"Giovanni Soto","CLE","AAA",3,4,4.148437438183465,95,1,0,0,2,3,,128,556,110,69,59,8,71,1,7,11,1,138,9.703124855412172,0.24820144,0.12769784,4.148437438183465,3.8929782319297095,1.414062478928827,2264,1280,0.32153392,"10330"
"Edwin Escobar","BOS","A,AAA",9,6,4.298206130974393,39,24,0,0,0,1,,148.2,650,157,78,71,16,62,0,6,5,1,89,5.387892192348183,0.13692308,0.09538462,4.298206130974393,5.078933678826919,1.4730941200053085,2438,1479,0.38539554,"10337"
"Juan Minaya","HOU","AA,AAA",15,24,3.700348579606721,199,1,0,0,15,14,,287,1247,264,137,118,26,121,5,32,34,2,295,9.250871449016802,0.23656776,0.09703288,3.700348579606721,4.141449581380135,1.341463468124847,4754,2955,0.30276382,"10341"
"Robbie Erlin","SDP","A+,AAA",16,13,6.5036496293774055,69,49,1,1,1,3,,274,1264,347,221,198,55,97,0,13,13,1,239,7.850364956672727,0.18908228,0.07674051,6.5036496293774055,5.865592804353417,1.6204379547943704,4730,2976,0.27789934,"10354"
"Brooks Pounders","KCR","A+,AA,AAA,R",15,17,3.273672301926011,156,25,0,0,7,6,,288.2,1209,245,117,105,28,108,5,21,14,2,293,9.135104613945916,0.24234905,0.08933002,3.273672301926011,4.195093348924279,1.2228638334178645,4761,2996,0.29643766,"10387"
"Taylor Jordan","WSN","AAA",5,6,2.7905029568354247,22,22,0,0,0,0,,119.1,496,108,41,37,4,32,2,5,3,0,73,5.505586914837459,0.14717742,0.06451613,2.7905029568354247,3.3010871467413936,1.1731844262971756,1763,1143,0.27937337,"10466"
"Hunter Cervenka","ATL","A+,AA,AAA",8,9,3.2130517690136355,155,0,0,0,6,7,,173.2,754,141,72,62,13,93,3,13,17,1,210,10.88291728214296,0.27851459,0.12334218,3.2130517690136355,3.949188761227461,1.347408806360557,2979,1831,0.28375286,"10510"
"Drew Hayes","CIN","AA,AAA",8,9,3.3749999125366648,85,2,0,0,4,7,,122.2,535,123,59,46,5,58,5,3,5,0,101,7.4103258949174595,0.18878505,0.10841121,3.3749999125366648,3.54466769537005,1.4755434400220684,2148,1335,0.32075472,"10528"
"Dean Kiekhefer","STL","AA,AAA,R",19,8,3.408196387954952,179,4,0,0,10,8,,203.1,872,230,93,77,15,44,6,7,3,0,156,6.904917357415227,0.17889908,0.05045872,3.408196387954952,3.861579335294668,1.3475408518032566,3001,2000,0.32932331,"10529"
"Jake Petricka","CHW","AAA",8,5,3.3422328549805034,107,0,0,0,12,8,,137.1,579,134,57,51,10,44,1,5,8,0,128,8.388349126225577,0.22107081,0.07599309,3.3422328549805034,3.8249776379428124,1.2961164448508269,2116,1339,0.32668329,"10534"
"Scott Alexander","KCR","A,AAA,CPX,R",9,3,2.5974683293454297,98,3,0,0,15,7,,131.2,536,112,47,38,8,37,2,5,14,0,113,7.724050558316672,0.2108209,0.06902985,2.5974683293454297,3.7571790302432073,1.1316455586914298,1873,1245,0.30809399,"10591"
"Donn Roach","CIN","AAA",30,21,4.1340659513958355,86,76,1,0,1,1,,455,1936,517,238,209,35,97,3,15,19,0,250,4.945054965784492,0.12913223,0.05010331,4.1340659513958355,4.136052732336982,1.3494505551074125,6654,4376,0.28017789,"10620"
"Madison Younginer","BOS","AA,AAA,R",14,13,4.71114390911899,152,5,0,0,25,17,,227.1,1019,231,133,119,15,108,2,17,23,0,219,8.670088370563517,0.21491658,0.10598626,4.71114390911899,4.043595728166552,1.4912024138107725,3795,2303,0.34873323,"10636"
"Andrew Bellatti","TBR","A,A+,AA,AAA",7,7,4.368539486169791,103,6,0,0,13,7,,148.1,633,140,81,72,16,48,1,10,10,0,159,9.647191365291622,0.25118483,0.07582938,4.368539486169791,3.6903399896520708,1.2674157768517293,2426,1594,0.30769231,"10657"
"Tyler Thornburg","MIL","AA,AAA",3,10,5.894366345633076,71,19,0,0,0,5,,142,654,166,101,93,29,68,0,6,10,0,115,7.288732577933373,0.17584098,0.10397554,5.894366345633076,6.176553952400316,1.6478873654458062,2532,1558,0.28172043,"10688"
"Scott Copeland","TOR","AA,AAA",38,33,4.245180878979084,109,96,0,0,0,1,,553.1,2406,579,283,261,57,213,5,28,34,1,419,6.815060491541134,0.17414796,0.08852868,4.245180878979084,4.636157752868018,1.431325353832028,8764,5409,0.27163324,"10706"
"Drew Hutchison","TOR","AAA",42,30,4.116917993447012,124,114,1,0,0,1,,618.2,2662,581,315,283,66,258,3,32,25,6,583,8.481142014768933,0.21900826,0.09691961,4.116917993447012,4.324777298369801,1.356142205144108,10464,6502,0.32792389,"10732"
"Tyler Cravy","MIL","AAA",16,15,5.092683305893563,80,26,0,0,3,4,,205,892,209,122,116,20,83,0,6,14,3,178,7.8146347280090875,0.19955157,0.09304933,5.092683305893563,4.49850144854799,1.4243903499242532,3486,2166,0.28044872,"10770"
"Jake Dunning","SFG","A+,AA,AAA,R",10,7,5.684210597643232,82,12,0,0,3,4,,152,705,185,114,96,18,65,0,13,11,0,127,7.519736936465526,0.18014184,0.09219858,5.684210597643232,5.02591457010729,1.644736862743991,2517,1567,0.32734531,"10803"
"Mike Foltynewicz","ATL","AAA",7,9,3.2666666666666666,25,25,1,0,0,0,,135,563,114,59,49,8,57,0,4,4,0,133,8.866666666666667,0.23623446,0.10124334,3.2666666666666666,3.4928655342214268,1.2666666666666666,2217,1383,0.32608696,"10811"
"R.J. Alaniz","HOU","A+,AA,AAA,R",23,22,3.4938153695076424,229,10,0,0,20,20,,350.1,1528,352,167,136,21,141,12,25,26,1,370,9.505232990572262,0.2421466,0.09227749,3.4938153695076424,3.4570153780582875,1.4072311904961339,5846,3675,0.34883721,"10819"
"Michael Mariot","KCR","A+,AA,AAA",29,17,4.082169467025252,193,40,0,0,15,4,,405.2,1699,370,197,184,53,133,3,18,25,1,371,8.230896044925915,0.21836374,0.07828134,4.082169467025252,4.4406581814523705,1.2399343248271144,6363,3980,0.30212766,"10835"
"Asher Wojciechowski","HOU","AA,AAA",28,26,4.67413447402365,106,88,1,0,1,1,,491,2128,495,276,255,81,174,0,26,17,1,460,8.431771992356389,0.21616541,0.08176692,4.67413447402365,5.046831727990396,1.3625254741271553,8103,5243,0.28961749,"10836"
