Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Patrick Schuster","ARI","AA,AAA","24-26",7,4,3.6357615894039736,134,0,0,0,8,7,,151,657,149,64,61,8,63,1,10,12,1,145,"10029"
"Keyvius Sampson","CIN","A,AA,AAA,R","24-30",12,18,4.017426222100319,74,44,0,0,0,2,,248.2,1094,221,123,111,18,138,1,8,14,1,245,"10039"
"Ashur Tolliver","BAL","A-,AA,AAA,R","27-29",5,3,3.7517082621870803,108,2,0,0,3,7,,146.1,641,136,63,61,8,80,1,5,12,1,146,"10044"
"Johnny Hellweg","MIL","A+,AA,AAA","26-29",3,17,5.915730665912552,54,22,0,0,11,1,,118.2,574,124,99,78,10,85,0,21,21,2,87,"10065"
"Ian Krol","DET","A+,AAA,R","24-31",10,8,3.831683385396715,177,2,0,0,21,7,,202,896,201,95,86,18,98,3,13,17,1,234,"10066"
"Caleb Thielbar","MIN","AA,AAA","28-36",15,5,2.5620439115460627,131,0,0,0,5,2,,182.2,744,163,56,52,12,44,3,5,4,0,175,"10078"
"Manny Barreda","MIL","A+,AA,AAA","26-32",6,6,2.907692648983606,70,9,1,0,1,3,,130,554,114,53,42,11,59,0,5,12,0,128,"10148"
"Ryan Weber","ATL","AA,AAA","24-32",32,31,3.3351064732086635,152,86,1,0,6,4,,564,2313,558,235,209,55,100,4,27,11,0,420,"10160"
"Edgar Olmos","SEA","AAA","25-27",14,8,2.9047621392759404,91,8,0,0,5,5,,189,788,162,71,61,10,74,2,15,10,1,187,"10174"
"Jacob Turner","CHC","AA,AAA","24-27",11,18,4.473745813450252,60,49,1,1,1,1,,285.2,1231,307,149,142,26,101,0,14,18,2,220,"10185"
"Shelby Miller","ARI","A+,AA,AAA,R","25-31",13,9,3.415944427809412,78,27,1,1,12,2,,192.1,795,160,90,73,13,66,0,5,8,2,244,"10197"
"Aaron Northcraft","SDP","A-,AA,AAA","25-32",12,13,3.8969072835429452,141,20,0,0,6,3,,258.2,1106,238,127,112,19,110,5,20,12,0,202,"10218"
"Ariel Pena","MIL","AAA","26-27",4,4,5.459834025790736,59,12,0,0,0,1,,120.1,539,128,77,73,14,64,1,4,8,0,118,"10240"
"Andy Oliver","TBR","AAA","27-29",7,4,4.0909094219365665,85,15,0,0,1,2,,165,725,159,80,75,16,91,2,2,24,1,170,"10257"
"Rafael Martin","WSN","AAA","31-33",11,11,4.125,148,0,0,0,36,11,,168,705,147,79,77,17,58,9,6,6,0,180,"10258"
"Justin Marks","ARI","A+,AAA","27-29",20,25,4.7004049581158105,94,50,1,1,3,1,,329.1,1419,325,189,172,31,140,4,8,15,3,286,"10265"
"Josh Smoker","NYM","A,A+,AA,AAA","26-30",10,7,3.8643123361579077,154,3,0,0,9,8,,179.1,781,182,89,77,14,64,4,2,14,1,215,"10285"
"Chad Bell","TEX","AA,AAA","26-29",22,24,4.300403333297167,99,46,0,0,0,3,,330.2,1419,347,174,158,26,113,6,8,13,2,292,"10297"
"Chris Heston","SFG","A+,AA,AAA,R","28-30",6,15,4.945794540195035,43,33,1,1,1,0,,178.1,792,205,101,98,21,70,1,8,10,0,129,"10302"
"Roman Mendez","TEX","AA,AAA","24-27",13,8,3.338394683427635,106,0,0,0,18,1,,153.2,640,126,64,57,19,56,2,6,12,0,151,"10307"
"Erasmo Ramirez","SEA","A+,AA,AAA","28-32",7,10,4.120481975055395,44,31,1,0,0,0,,166,697,155,88,76,19,51,0,6,10,2,143,"10314"
"Michael Tonkin","MIN","AAA","25-33",14,5,2.5714285714285716,131,0,0,0,35,10,,154,624,115,50,44,12,47,1,14,5,1,207,"10315"
"Chad Jenkins","TOR","AAA","27-28",11,10,3.502702901323328,61,13,0,0,1,3,,123.1,552,139,57,48,6,43,1,3,5,0,81,"10326"
"Giovanni Soto","CLE","AAA","24-26",3,4,4.148437438183465,95,1,0,0,2,3,,128,556,110,69,59,8,71,1,7,11,1,138,"10330"
"Edwin Escobar","BOS","A,AAA","23-24",9,6,4.298206130974393,39,24,0,0,0,1,,148.2,650,157,78,71,16,62,0,6,5,1,89,"10337"
"Juan Minaya","HOU","AA,AAA","24-32",15,24,3.7132868618713135,198,1,0,0,15,14,,286,1243,262,137,118,26,121,5,32,34,2,295,"10341"
"Robbie Erlin","SDP","A+,AAA","24-32",16,13,6.5036496293774055,69,49,1,1,1,3,,274,1264,347,221,198,55,97,0,13,13,1,239,"10354"
"Brooks Pounders","KCR","A+,AA,AAA,R","24-30",15,17,3.273672301926011,156,25,0,0,7,6,,288.2,1209,245,117,105,28,108,5,21,14,2,293,"10387"
"Taylor Jordan","WSN","AAA","26-27",5,6,2.7905029568354247,22,22,0,0,0,0,,119.1,496,108,41,37,4,32,2,5,3,0,73,"10466"
"Hunter Cervenka","ATL","A+,AA,AAA","25-29",8,9,3.2130517690136355,155,0,0,0,6,7,,173.2,754,141,72,62,13,93,3,13,17,1,210,"10510"
"Drew Hayes","CIN","AA,AAA","27-28",8,9,3.3749999125366648,85,2,0,0,4,7,,122.2,535,123,59,46,5,58,5,3,5,0,101,"10528"
"Dean Kiekhefer","STL","AA,AAA,R","26-30",19,8,3.408196387954952,179,4,0,0,10,8,,203.1,872,230,93,77,15,44,6,7,3,0,156,"10529"
"Jake Petricka","CHW","AAA","27-34",8,5,3.3422328549805034,107,0,0,0,12,8,,137.1,579,134,57,51,10,44,1,5,8,0,128,"10534"
"Scott Alexander","KCR","A,AAA,CPX,R","25-32",9,3,2.5974683293454297,98,3,0,0,15,7,,131.2,536,112,47,38,8,37,2,5,14,0,113,"10591"
"Donn Roach","CIN","AAA","25-29",30,21,4.1340659513958355,86,76,1,0,1,1,,455,1936,517,238,209,35,97,3,15,19,0,250,"10620"
"Madison Younginer","BOS","AA,AAA,R","24-27",14,13,4.71114390911899,152,5,0,0,25,17,,227.1,1019,231,133,119,15,108,2,17,23,0,219,"10636"
"Andrew Bellatti","TBR","A,A+,AA,AAA","23-31",7,7,4.458715763344694,100,6,0,0,13,7,,145.1,621,137,81,72,16,48,1,10,10,0,156,"10657"
"Tyler Thornburg","MIL","AA,AAA","26-33",3,10,5.894366345633076,71,19,0,0,0,5,,142,654,166,101,93,29,68,0,6,10,0,115,"10688"
"Scott Copeland","TOR","AA,AAA","27-31",38,33,4.245180878979084,109,96,0,0,0,1,,553.1,2406,579,283,261,57,213,5,28,34,1,419,"10706"
"Drew Hutchison","TOR","AAA","24-32",42,29,4.041214641861098,123,113,1,0,0,1,,614.2,2640,575,308,276,65,254,3,31,25,6,580,"10732"
"Tyler Cravy","MIL","AAA","25-27",16,15,5.092683305893563,80,26,0,0,3,4,,205,892,209,122,116,20,83,0,6,14,3,178,"10770"
"Jake Dunning","SFG","A+,AA,AAA,R","26-28",10,7,5.684210597643232,82,12,0,0,3,4,,152,705,185,114,96,18,65,0,13,11,0,127,"10803"
"Mike Foltynewicz","ATL","AAA","23-27",7,9,3.2666666666666666,25,25,1,0,0,0,,135,563,114,59,49,8,57,0,4,4,0,133,"10811"
"R.J. Alaniz","HOU","A+,AA,AAA,R","24-31",23,22,3.4938153695076424,229,10,0,0,20,20,,350.1,1528,352,167,136,21,141,12,25,26,1,370,"10819"
"Michael Mariot","KCR","A+,AA,AAA","26-34",28,17,4.141659886745406,192,39,0,0,15,4,,397.2,1670,365,196,183,52,132,3,18,25,1,366,"10835"
"Asher Wojciechowski","HOU","AA,AAA","26-33",28,26,4.67413447402365,106,88,1,0,1,1,,491,2128,495,276,255,81,174,0,26,17,1,460,"10836"
"Adam Kolarek","NYM","AA,AAA","26-34",16,19,3.7555320409690034,265,2,0,0,12,12,,316.1,1362,280,149,132,15,138,5,28,18,1,300,"10843"
"Perci Garner","CLE","A+,AA,AAA","26-28",10,2,2.736000002609253,72,1,0,0,9,6,,125,506,87,42,38,2,51,1,4,17,0,123,"10887"
"Christian Bergman","COL","AAA","27-31",22,20,5.214592413410509,62,59,1,1,0,0,,310.2,1356,365,194,180,40,79,1,8,6,0,234,"10925"
"Josh A. Smith","CIN","A,AA,AAA,CPX","27-33",28,25,3.959134742452288,97,62,2,0,2,4,,416,1749,411,203,183,34,109,3,19,11,0,398,"10946"
"Jake Buchanan","HOU","AAA,CPX","25-31",41,35,5.133403472549625,144,102,0,0,3,1,,634.2,2804,756,389,362,60,186,6,40,14,0,424,"10962"
"Tim Adleman","CIN","AA,AAA,R","27-34",26,18,3.241706057659036,107,69,2,0,0,1,,422,1727,371,170,152,42,124,2,13,23,1,363,"10968"
"Ben Rowen","BAL","AA,AAA,CPX","26-32",13,15,3.667711798855475,220,8,0,0,3,5,,319,1310,325,141,130,19,61,8,14,2,1,231,"10983"
"Kevin Shackelford","CIN","AA,AAA","26-29",7,7,2.407228767686018,113,1,0,0,23,7,,138.1,586,119,45,37,5,58,6,7,15,1,125,"11012"
"Mickey Jannis","NYM","A+,AA,AAA","27-33",32,44,4.557920749041862,126,112,4,1,1,0,,673.1,2936,715,388,341,54,253,3,29,58,1,476,"11071"
"Casey Lawrence","TOR","AA,AAA","27-35",48,48,4.034213908773852,149,131,6,3,1,1,,769.2,3206,803,383,345,85,146,1,19,10,5,590,"11121"
"John Gast","STL","AAA","26-26",7,10,5.030137406870168,24,24,1,1,0,0,,121.2,560,153,84,68,12,43,1,6,5,0,90,"11133"
"Mike Bolsinger","LAD","AAA","27-29",10,10,2.966367573459936,45,21,0,0,1,2,,148.2,605,133,52,49,10,47,0,4,10,1,164,"11137"
"Eric Jokisch","CHC","AA,AAA,R","25-28",22,26,4.026133961669424,99,68,1,0,2,1,,433.2,1887,476,233,194,36,138,2,8,19,1,307,"11157"
"David Buchanan","PHI","AAA,R","26-27",15,11,3.584415347645724,39,38,1,0,0,0,,231,958,227,102,92,17,60,1,6,2,1,130,"11176"
"Grant Dayton","LAD","A+,AA,AAA,CPX,R","27-34",9,9,3.624784648058756,157,3,0,0,8,7,,193.2,785,155,86,78,16,55,6,6,10,0,267,"11203"
"Casey Sadler","PIT","A+,AA,AAA","24-30",18,15,3.7419354806733085,83,32,4,0,3,3,,279,1168,271,134,116,27,69,2,9,8,1,234,"11209"
"Kevin Chapman","HOU","AAA","27-30",6,7,4.95196496238948,132,0,0,0,10,6,,152.2,702,167,97,84,11,71,1,13,4,0,174,"11240"
"Aaron Barrett","WSN","A,A-,A+,AA,AAA","27-34",7,6,3.392670292586493,122,4,0,0,33,6,,127.1,547,106,61,48,11,51,1,9,13,1,159,"11243"
"Logan Darnell","MIN","AA,AAA","26-29",26,19,3.8772850394064995,91,58,3,3,0,2,,383,1635,421,186,165,36,106,1,6,15,2,259,"11261"
"Lisalverto Bonilla","LAD","AA,AAA","26-27",8,11,3.8349330461283473,49,21,1,0,4,2,,173.2,742,170,85,74,12,63,1,2,12,2,177,"11266"
"Zach Neal","OAK","AA,AAA","26-34",34,33,5.01783663784011,129,93,2,0,1,2,,579.1,2484,673,353,323,82,104,1,28,7,3,368,"11294"
"Tyler Lyons","STL","A,AA,AAA","27-31",15,10,3.1438354341850574,70,25,2,1,5,2,,194.2,793,181,72,68,22,42,0,3,6,1,199,"11334"
"Sean Nolin","OAK","A+,AA,AAA","25-33",15,13,4.2761782453345285,79,47,0,0,0,1,,254.2,1095,256,126,121,40,88,0,13,6,3,249,"11341"
"Seth Frankoff","OAK","AA,AAA,R","26-32",8,14,4.395348919299513,107,34,0,0,8,5,,272.1,1164,264,149,133,36,102,0,12,27,1,274,"11346"
"Pat Dean","MIN","AAA","26-30",20,31,4.689075830671202,61,60,6,3,0,0,,357,1545,430,208,186,54,80,0,8,4,0,206,"11350"
"Tyrell Jenkins","ATL","AA,AAA","22-24",21,20,4.228915945358757,59,53,3,0,0,0,,304.1,1341,324,166,143,26,148,1,6,6,1,199,"11378"
"A.J. Achter","MIN","AA,AAA","26-28",6,4,3.585365909256445,86,3,0,0,18,4,,123,499,89,50,49,17,41,3,2,5,1,104,"11387"
